,billid,firstname,lastname,state,primaryorco,billstage,chambername
486,27,,Grijalva,,Co,INTRODUCED,Representative
487,27,,Hanabusa,,Co,INTRODUCED,Representative
488,27,,Jayapal,,Co,INTRODUCED,Representative
489,27,,Khanna,,Co,INTRODUCED,Representative
490,27,,Kildee,,Co,INTRODUCED,Representative
491,27,,Lee,,Co,INTRODUCED,Representative
492,27,Jackson,Lee,,Co,INTRODUCED,Representative
493,27,,Levin,,Co,INTRODUCED,Representative
494,27,,McCollum,,Co,INTRODUCED,Representative
495,27,,McGovern,,Co,INTRODUCED,Representative
496,27,,Moore,,Co,INTRODUCED,Representative
497,27,,Moulton,,Co,INTRODUCED,Representative
498,27,,Nadler,,Co,INTRODUCED,Representative
499,27,,Napolitano,,Co,INTRODUCED,Representative
500,27,,Norton,,Co,INTRODUCED,Representative
501,27,,Pallone,,Co,INTRODUCED,Representative
502,27,,Payne,,Co,INTRODUCED,Representative
503,27,,Peters,,Co,INTRODUCED,Representative
504,27,,Pocan,,Co,INTRODUCED,Representative
505,27,,Polis,,Co,INTRODUCED,Representative
506,27,,Schakowsky,,Co,INTRODUCED,Representative
507,27,,Serrano,,Co,INTRODUCED,Representative
508,27,,Speier,,Co,INTRODUCED,Representative
509,27,,Takano,,Co,INTRODUCED,Representative
510,27,,Tonko,,Co,INTRODUCED,Representative
511,27,,Velázquez,,Co,INTRODUCED,Representative
512,27,,Lofgren,,Co,INTRODUCED,Representative
513,28,,Cummings,,Primary,INTRODUCED,Representative
514,28,,Meng,,Co,INTRODUCED,Representative
515,28,,Norton,,Co,INTRODUCED,Representative
516,29,,Taylor,,Primary,INTRODUCED,Representative
517,29,,Schneider,,Co,INTRODUCED,Representative
518,30,,Sensenbrenner,,Primary,INTRODUCED,Representative
519,30,,Gallego,,Co,INTRODUCED,Representative
520,30,,Moore,,Co,INTRODUCED,Representative
521,30,,Dingell,,Co,INTRODUCED,Representative
522,30,,Sherman,,Co,INTRODUCED,Representative
523,30,,Kaptur,,Co,INTRODUCED,Representative
524,30,Watson,Coleman,,Co,INTRODUCED,Representative
525,30,,Lipinski,,Co,INTRODUCED,Representative
526,30,,Hultgren,,Co,INTRODUCED,Representative
527,30,,DeFazio,,Co,INTRODUCED,Representative
528,30,,Kind,,Co,INTRODUCED,Representative
529,30,,Messer,,Co,INTRODUCED,Representative
530,30,,Pallone,,Co,INTRODUCED,Representative
531,30,,McGovern,,Co,INTRODUCED,Representative
532,30,,Hastings,,Co,INTRODUCED,Representative
533,30,,Heck,,Co,INTRODUCED,Representative
534,30,,LoBiondo,,Co,INTRODUCED,Representative
535,30,,Conyers,,Co,INTRODUCED,Representative
536,30,,Cummings,,Co,INTRODUCED,Representative
