,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername,civid
919,328,,Scott,Virginia,Co,52,INTRODUCED,Senator,328
920,328,Ted,Lieu,California,Co,378,INTRODUCED,Senator,
921,328,,Larsen,Washington,Co,83,INTRODUCED,Senator,
922,328,Carolyn B,Maloney,New York,Co,329,INTRODUCED,Senator,
923,328,Carolyn B,Maloney,New York,Co,322,INTRODUCED,Senator,
924,328,,Sewell,Alabama,Co,172,INTRODUCED,Senator,
925,328,,Lewis,Georgia,Co,221,INTRODUCED,Senator,
926,336,,Esty,Connecticut,Primary,337,INTRODUCED,Senator,119
927,339,,Brooks,Alabama,Co,178,INTRODUCED,Senator,
928,339,,Carter,Georgia,Co,44,INTRODUCED,Senator,
929,339,,Carter,Texas,Co,103,INTRODUCED,Senator,
930,339,,Duncan,South Carolina,Co,236,INTRODUCED,Senator,
931,339,Jody B,Hice,Georgia,Co,229,INTRODUCED,Senator,
932,339,,Smith,Texas,Co,452,INTRODUCED,Senator,340
933,339,,Webster,Florida,Co,38,INTRODUCED,Senator,
934,341,Sean P,Maloney,New York,Co,329,INTRODUCED,Senator,
935,341,Sean P,Maloney,New York,Co,322,INTRODUCED,Senator,
936,343,,Higgins,New York,Co,290,INTRODUCED,Senator,
937,343,,Ryan,Ohio,Co,262,INTRODUCED,Senator,
938,343,,Smith,Washington,Co,357,INTRODUCED,Senator,340
939,344,,Thompson,Mississippi,Co,155,INTRODUCED,Senator,
940,344,,Kelly,Illinois,Co,177,INTRODUCED,Senator,
941,344,,Gonzalez,Texas,Co,98,INTRODUCED,Senator,
942,346,,King,New York,Primary,336,INTRODUCED,Senator,197
943,346,,Rice,New York,Co,335,INTRODUCED,Senator,
944,353,Danny K,Davis,Illinois,Primary,187,INTRODUCED,Senator,
945,353,Danny K,Davis,Illinois,Primary,158,INTRODUCED,Senator,
946,354,,Davis,California,Co,403,INTRODUCED,Senator,
947,354,,Scott,Virginia,Co,52,INTRODUCED,Senator,328
948,354,Danny K,Davis,Illinois,Co,187,INTRODUCED,Senator,
949,354,Danny K,Davis,Illinois,Co,158,INTRODUCED,Senator,
950,358,,Clark,Massachusetts,Co,347,INTRODUCED,Senator,
951,358,Ted,Lieu,California,Co,378,INTRODUCED,Senator,
952,358,,Ryan,Ohio,Co,262,INTRODUCED,Senator,
953,358,,Scott,Virginia,Co,52,INTRODUCED,Senator,328
954,358,,Lewis,Georgia,Co,221,INTRODUCED,Senator,
955,358,,Thompson,Mississippi,Co,155,INTRODUCED,Senator,
956,358,,Brady,Pennsylvania,Co,316,INTRODUCED,Senator,
957,358,,Kelly,Illinois,Co,177,INTRODUCED,Senator,
958,358,,Clarke,New York,Co,330,INTRODUCED,Senator,
959,358,Judy,Chu,California,Co,388,INTRODUCED,Senator,
960,358,,Johnson,Georgia,Co,0,INTRODUCED,Senator,184
961,358,Michael F,Doyle,Pennsylvania,Co,282,INTRODUCED,Senator,
962,358,Al,Green,Texas,Co,132,INTRODUCED,Senator,
963,358,Al,Green,Texas,Co,128,INTRODUCED,Senator,
964,359,Maxine,Waters,California,Co,383,INTRODUCED,Senator,
965,359,David,Scott,Georgia,Co,230,INTRODUCED,Senator,328
966,359,David,Scott,Georgia,Co,216,INTRODUCED,Senator,328
967,362,,Lewis,Georgia,Co,221,INTRODUCED,Senator,
968,362,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Senator,184
969,362,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Senator,184
970,362,,Sewell,Alabama,Co,172,INTRODUCED,Senator,
971,362,Danny K,Davis,Illinois,Co,187,INTRODUCED,Senator,
972,362,Danny K,Davis,Illinois,Co,158,INTRODUCED,Senator,
973,362,,Clarke,New York,Co,330,INTRODUCED,Senator,
974,362,,Johnson,Georgia,Co,0,INTRODUCED,Senator,184
975,362,David,Scott,Georgia,Co,230,INTRODUCED,Senator,328
976,362,David,Scott,Georgia,Co,216,INTRODUCED,Senator,328
977,362,,Carson,Indiana,Co,202,INTRODUCED,Senator,
978,362,,Wilson,Florida,Co,278,INTRODUCED,Senator,
979,362,Maxine,Waters,California,Co,383,INTRODUCED,Senator,
980,362,,Lawson,Florida,Co,249,INTRODUCED,Senator,
981,362,,Kelly,Illinois,Co,177,INTRODUCED,Senator,
982,363,,Carson,Indiana,Co,202,INTRODUCED,Senator,
983,363,,Wilson,Florida,Co,278,INTRODUCED,Senator,
984,363,,Johnson,Georgia,Co,0,INTRODUCED,Senator,184
985,365,,Scott,Virginia,Co,52,INTRODUCED,Senator,328
986,365,Sean P,Maloney,New York,Co,329,INTRODUCED,Senator,
987,365,Sean P,Maloney,New York,Co,322,INTRODUCED,Senator,
988,365,,Swalwell,California,Co,361,INTRODUCED,Senator,
