,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername
265,96,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Representative
266,96,,Scott,Virginia,Co,52,INTRODUCED,Representative
267,96,,Thompson,Mississippi,Co,155,INTRODUCED,Representative
268,96,Danny K,Davis,Illinois,Co,187,INTRODUCED,Representative
269,96,Danny K,Davis,Illinois,Co,158,INTRODUCED,Representative
270,96,David,Scott,Georgia,Co,230,INTRODUCED,Representative
271,96,David,Scott,Georgia,Co,216,INTRODUCED,Representative
272,96,Al,Green,Texas,Co,132,INTRODUCED,Representative
273,96,Al,Green,Texas,Co,128,INTRODUCED,Representative
274,96,,Johnson,Georgia,Co,0,INTRODUCED,Representative
275,96,,Sewell,Alabama,Co,172,INTRODUCED,Representative
276,96,,Wilson,Florida,Co,278,INTRODUCED,Representative
277,96,,Kelly,Illinois,Co,177,INTRODUCED,Representative
278,96,,Lawson,Florida,Co,249,INTRODUCED,Representative
279,96,,Swalwell,California,Co,361,INTRODUCED,Representative
280,96,Ted,Lieu,California,Co,378,INTRODUCED,Representative
281,96,,Price,North Carolina,Co,288,INTRODUCED,Representative
282,96,Carolyn B,Maloney,New York,Co,329,INTRODUCED,Representative
283,96,Carolyn B,Maloney,New York,Co,322,INTRODUCED,Representative
284,96,,Larson,Connecticut,Co,342,INTRODUCED,Representative
285,96,,Thompson,California,Co,354,INTRODUCED,Representative
286,96,,Ryan,Ohio,Co,262,INTRODUCED,Representative
287,96,,Higgins,New York,Co,290,INTRODUCED,Representative
288,96,,Castor,Florida,Co,42,INTRODUCED,Representative
289,96,Judy,Chu,California,Co,388,INTRODUCED,Representative
290,96,,Brownley,California,Co,92,INTRODUCED,Representative
291,96,Sean P,Maloney,New York,Co,329,INTRODUCED,Representative
292,96,Sean P,Maloney,New York,Co,322,INTRODUCED,Representative
293,96,,Clark,Massachusetts,Co,347,INTRODUCED,Representative
294,96,,Frankel,Florida,Co,279,INTRODUCED,Representative
295,96,,Frankel,Florida,Co,277,INTRODUCED,Representative
296,96,,Larsen,Washington,Co,83,INTRODUCED,Representative
297,96,Michael F,Doyle,Pennsylvania,Co,282,INTRODUCED,Representative
298,96,,Davis,California,Co,403,INTRODUCED,Representative
299,96,,Smith,Washington,Co,357,INTRODUCED,Representative
300,96,Brendan F,Boyle,Pennsylvania,Co,315,INTRODUCED,Representative
301,96,Gene,Green,Texas,Co,132,INTRODUCED,Representative
302,96,Gene,Green,Texas,Co,128,INTRODUCED,Representative
303,96,,Esty,Connecticut,Co,337,INTRODUCED,Representative
304,97,,Weber,Texas,Co,1,,
305,98,,Weber,Texas,Primary,1,,
306,100,,Lewis,Georgia,Co,221,,
307,101,Brendan F,Boyle,Pennsylvania,Co,315,INTRODUCED,Representative
308,101,,Brown,Maryland,Co,304,INTRODUCED,Representative
309,101,,Castor,Florida,Co,42,INTRODUCED,Representative
310,101,,Castro,Texas,Co,99,INTRODUCED,Representative
311,101,Judy,Chu,California,Co,388,INTRODUCED,Representative
312,101,,Clark,Massachusetts,Co,347,INTRODUCED,Representative
313,101,,Clarke,New York,Co,330,INTRODUCED,Representative
314,101,,Davis,California,Co,403,INTRODUCED,Representative
315,101,,Esty,Connecticut,Co,337,INTRODUCED,Representative
316,101,,Frankel,Florida,Co,279,INTRODUCED,Representative
317,101,,Frankel,Florida,Co,277,INTRODUCED,Representative
318,101,Gene,Green,Texas,Co,132,INTRODUCED,Representative
319,101,Gene,Green,Texas,Co,128,INTRODUCED,Representative
320,101,Al,Green,Texas,Co,132,INTRODUCED,Representative
321,101,Al,Green,Texas,Co,128,INTRODUCED,Representative
322,101,,Higgins,New York,Co,290,INTRODUCED,Representative
323,101,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Representative
324,101,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Representative
325,101,,Kelly,Illinois,Co,177,INTRODUCED,Representative
326,101,,Larsen,Washington,Co,83,INTRODUCED,Representative
327,101,,Larson,Connecticut,Co,342,INTRODUCED,Representative
328,101,,Lawson,Florida,Co,249,INTRODUCED,Representative
329,101,,Lewis,Georgia,Co,221,INTRODUCED,Representative
330,101,Ted,Lieu,California,Co,378,INTRODUCED,Representative
331,101,Sean P,Maloney,New York,Co,329,INTRODUCED,Representative
332,101,Sean P,Maloney,New York,Co,322,INTRODUCED,Representative
333,101,Carolyn B,Maloney,New York,Co,329,INTRODUCED,Representative
334,101,Carolyn B,Maloney,New York,Co,322,INTRODUCED,Representative
335,101,,Kuster,New Hampshire,Co,345,INTRODUCED,Representative
336,101,,Price,North Carolina,Co,288,INTRODUCED,Representative
337,101,,Rice,New York,Co,335,INTRODUCED,Representative
338,101,,Scott,Virginia,Co,52,INTRODUCED,Representative
339,101,,Sewell,Alabama,Co,172,INTRODUCED,Representative
340,101,,Smith,Washington,Co,357,INTRODUCED,Representative
341,101,,Swalwell,California,Co,361,INTRODUCED,Representative
342,101,Maxine,Waters,California,Co,383,INTRODUCED,Representative
343,101,,Brownley,California,Co,92,INTRODUCED,Representative
344,101,,Gonzalez,Texas,Co,98,INTRODUCED,Representative
345,101,,Brady,Pennsylvania,Co,316,INTRODUCED,Representative
346,101,,Murphy,Florida,Co,264,INTRODUCED,Representative
347,101,,Thompson,California,Co,354,INTRODUCED,Representative
348,101,Michael F,Doyle,Pennsylvania,Co,282,INTRODUCED,Representative
349,101,,Ryan,Ohio,Co,262,INTRODUCED,Representative
350,101,,Carson,Indiana,Co,202,INTRODUCED,Representative
351,102,,King,New York,Co,336,INTRODUCED,Senator
352,102,,Rice,New York,Co,335,INTRODUCED,Senator
353,105,Danny K,Davis,Illinois,Primary,187,INTRODUCED,Senator
354,105,Danny K,Davis,Illinois,Primary,158,INTRODUCED,Senator
355,108,,Smith,Missouri,Co,150,,
356,108,,Bishop,Georgia,Co,9,,
357,108,,Carson,Indiana,Co,202,,
358,108,Judy,Chu,California,Co,388,,
359,108,,Clarke,New York,Co,330,,
360,108,Danny K,Davis,Illinois,Co,187,,
361,108,Danny K,Davis,Illinois,Co,158,,
362,108,Al,Green,Texas,Co,132,,
363,108,Al,Green,Texas,Co,128,,
364,108,,Brown,Maryland,Co,304,,
365,108,Eddie B,Johnson,Texas,Co,117,,
366,108,Eddie B,Johnson,Texas,Co,113,,
367,108,,Johnson,Georgia,Co,0,,
