,billid,firstname,lastname,state,primaryorco,billstage,chambername,legistype,civid
2052,153,,Takano,,Co,INTRODUCED,Senator,A BILL,
2053,154,,Casey,,Primary,,,,
2054,154,,Grassley,,Co,,,,
2055,154,,Leahy,,Co,,,,
2056,154,,Collins,,Co,,,,
2057,155,Jackson,Lee,,Primary,,,,
2058,155,,,,Co,,,,
2059,156,,Adams,,Primary,REFERRED,Senator,AN ACT,
2060,156,,Lee,,Co,REFERRED,Senator,AN ACT,
2061,156,Watson,Coleman,,Co,REFERRED,Senator,AN ACT,
2062,156,,Khanna,,Co,REFERRED,Senator,AN ACT,
2063,156,,Moore,,Co,REFERRED,Senator,AN ACT,
2064,156,,Norton,,Co,REFERRED,Senator,AN ACT,
2065,156,,Serrano,,Co,REFERRED,Senator,AN ACT,
2066,156,,Payne,,Co,REFERRED,Senator,AN ACT,
2067,156,,Lawrence,,Co,REFERRED,Senator,AN ACT,
2068,156,,Barragán,,Co,REFERRED,Senator,AN ACT,
2069,156,,Velázquez,,Co,REFERRED,Senator,AN ACT,
2070,156,,Grijalva,,Co,REFERRED,Senator,AN ACT,
2071,156,,Dingell,,Co,REFERRED,Senator,AN ACT,
2072,156,,Hastings,,Co,REFERRED,Senator,AN ACT,
2073,156,,Cleaver,,Co,REFERRED,Senator,AN ACT,
2074,156,,Roybal-Allard,,Co,REFERRED,Senator,AN ACT,
2075,156,,Napolitano,,Co,REFERRED,Senator,AN ACT,
2076,156,,Beatty,,Co,REFERRED,Senator,AN ACT,
2077,156,,Cohen,,Co,REFERRED,Senator,AN ACT,
2078,156,,Schakowsky,,Co,REFERRED,Senator,AN ACT,
2079,156,,McEachin,,Co,REFERRED,Senator,AN ACT,
2080,156,Wasserman,Schultz,,Co,REFERRED,Senator,AN ACT,
2081,156,,McCollum,,Co,REFERRED,Senator,AN ACT,
2082,156,,Gallego,,Co,REFERRED,Senator,AN ACT,
2083,156,,Cummings,,Co,REFERRED,Senator,AN ACT,
2084,156,,Lowenthal,,Co,REFERRED,Senator,AN ACT,
2085,156,,Bonamici,,Co,REFERRED,Senator,AN ACT,
2086,156,,Crist,,Co,REFERRED,Senator,AN ACT,
2087,156,,Beyer,,Co,REFERRED,Senator,AN ACT,
2088,156,,Speier,,Co,REFERRED,Senator,AN ACT,
2089,156,,Hanabusa,,Co,REFERRED,Senator,AN ACT,
2090,156,,Sánchez,,Co,REFERRED,Senator,AN ACT,
2091,156,,Torres,,Co,REFERRED,Senator,AN ACT,
2092,157,,,,Primary,INTRODUCED,Representative,A BILL,
2093,157,,,,Co,INTRODUCED,Representative,A BILL,
2094,158,,Abraham,,Co,INTRODUCED,Senator,A BILL,
2095,158,,Radewagen,,Co,INTRODUCED,Senator,A BILL,
2096,158,,DeLauro,,Co,INTRODUCED,Senator,A BILL,
2097,158,,Stefanik,,Co,INTRODUCED,Senator,A BILL,
2098,158,,Gallego,,Co,INTRODUCED,Senator,A BILL,
2099,158,,ORourke,,Co,INTRODUCED,Senator,A BILL,
2100,158,,Peters,,Co,INTRODUCED,Senator,A BILL,
2101,158,,Meehan,,Co,INTRODUCED,Senator,A BILL,
2102,158,,Jones,,Co,INTRODUCED,Senator,A BILL,
2103,158,,Slaughter,,Co,INTRODUCED,Senator,A BILL,
2104,158,,Conyers,,Co,INTRODUCED,Senator,A BILL,
2105,158,,Keating,,Co,INTRODUCED,Senator,A BILL,
2106,158,,Coffman,,Co,INTRODUCED,Senator,A BILL,
2107,158,,Cramer,,Co,INTRODUCED,Senator,A BILL,
2108,158,,LoBiondo,,Co,INTRODUCED,Senator,A BILL,
2109,158,,Quigley,,Co,INTRODUCED,Senator,A BILL,
2110,158,,Shea-Porter,,Co,INTRODUCED,Senator,A BILL,
