,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername,legistype
272,96,Al,Green,Texas,Co,132,INTRODUCED,Representative,A BILL
273,96,Al,Green,Texas,Co,128,INTRODUCED,Representative,A BILL
274,96,,Johnson,Georgia,Co,0,INTRODUCED,Representative,A BILL
275,96,,Sewell,Alabama,Co,172,INTRODUCED,Representative,A BILL
276,96,,Wilson,Florida,Co,278,INTRODUCED,Representative,A BILL
277,96,,Kelly,Illinois,Co,177,INTRODUCED,Representative,A BILL
278,96,,Lawson,Florida,Co,249,INTRODUCED,Representative,A BILL
279,96,,Swalwell,California,Co,361,INTRODUCED,Representative,A BILL
280,96,Ted,Lieu,California,Co,378,INTRODUCED,Representative,A BILL
281,96,,Price,North Carolina,Co,288,INTRODUCED,Representative,A BILL
282,96,Carolyn B,Maloney,New York,Co,329,INTRODUCED,Representative,A BILL
283,96,Carolyn B,Maloney,New York,Co,322,INTRODUCED,Representative,A BILL
284,96,,Larson,Connecticut,Co,342,INTRODUCED,Representative,A BILL
285,96,,Thompson,California,Co,354,INTRODUCED,Representative,A BILL
286,96,,Ryan,Ohio,Co,262,INTRODUCED,Representative,A BILL
287,96,,Higgins,New York,Co,290,INTRODUCED,Representative,A BILL
288,96,,Castor,Florida,Co,42,INTRODUCED,Representative,A BILL
289,96,Judy,Chu,California,Co,388,INTRODUCED,Representative,A BILL
290,96,,Brownley,California,Co,92,INTRODUCED,Representative,A BILL
291,96,Sean P,Maloney,New York,Co,329,INTRODUCED,Representative,A BILL
292,96,Sean P,Maloney,New York,Co,322,INTRODUCED,Representative,A BILL
293,96,,Clark,Massachusetts,Co,347,INTRODUCED,Representative,A BILL
294,96,,Frankel,Florida,Co,279,INTRODUCED,Representative,A BILL
295,96,,Frankel,Florida,Co,277,INTRODUCED,Representative,A BILL
296,96,,Larsen,Washington,Co,83,INTRODUCED,Representative,A BILL
297,96,Michael F,Doyle,Pennsylvania,Co,282,INTRODUCED,Representative,A BILL
298,96,,Davis,California,Co,403,INTRODUCED,Representative,A BILL
299,96,,Smith,Washington,Co,357,INTRODUCED,Representative,A BILL
300,96,Brendan F,Boyle,Pennsylvania,Co,315,INTRODUCED,Representative,A BILL
301,96,Gene,Green,Texas,Co,132,INTRODUCED,Representative,A BILL
302,96,Gene,Green,Texas,Co,128,INTRODUCED,Representative,A BILL
303,96,,Esty,Connecticut,Co,337,INTRODUCED,Representative,A BILL
304,97,,Weber,Texas,Co,1,,,
305,98,,Weber,Texas,Primary,1,,,
306,100,,Lewis,Georgia,Co,221,,,
307,101,Brendan F,Boyle,Pennsylvania,Co,315,INTRODUCED,Representative,A BILL
308,101,,Brown,Maryland,Co,304,INTRODUCED,Representative,A BILL
309,101,,Castor,Florida,Co,42,INTRODUCED,Representative,A BILL
310,101,,Castro,Texas,Co,99,INTRODUCED,Representative,A BILL
311,101,Judy,Chu,California,Co,388,INTRODUCED,Representative,A BILL
312,101,,Clark,Massachusetts,Co,347,INTRODUCED,Representative,A BILL
313,101,,Clarke,New York,Co,330,INTRODUCED,Representative,A BILL
314,101,,Davis,California,Co,403,INTRODUCED,Representative,A BILL
315,101,,Esty,Connecticut,Co,337,INTRODUCED,Representative,A BILL
316,101,,Frankel,Florida,Co,279,INTRODUCED,Representative,A BILL
317,101,,Frankel,Florida,Co,277,INTRODUCED,Representative,A BILL
318,101,Gene,Green,Texas,Co,132,INTRODUCED,Representative,A BILL
319,101,Gene,Green,Texas,Co,128,INTRODUCED,Representative,A BILL
320,101,Al,Green,Texas,Co,132,INTRODUCED,Representative,A BILL
321,101,Al,Green,Texas,Co,128,INTRODUCED,Representative,A BILL
322,101,,Higgins,New York,Co,290,INTRODUCED,Representative,A BILL
323,101,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Representative,A BILL
324,101,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Representative,A BILL
325,101,,Kelly,Illinois,Co,177,INTRODUCED,Representative,A BILL
326,101,,Larsen,Washington,Co,83,INTRODUCED,Representative,A BILL
327,101,,Larson,Connecticut,Co,342,INTRODUCED,Representative,A BILL
328,101,,Lawson,Florida,Co,249,INTRODUCED,Representative,A BILL
329,101,,Lewis,Georgia,Co,221,INTRODUCED,Representative,A BILL
330,101,Ted,Lieu,California,Co,378,INTRODUCED,Representative,A BILL
331,101,Sean P,Maloney,New York,Co,329,INTRODUCED,Representative,A BILL
332,101,Sean P,Maloney,New York,Co,322,INTRODUCED,Representative,A BILL
333,101,Carolyn B,Maloney,New York,Co,329,INTRODUCED,Representative,A BILL
334,101,Carolyn B,Maloney,New York,Co,322,INTRODUCED,Representative,A BILL
335,101,,Kuster,New Hampshire,Co,345,INTRODUCED,Representative,A BILL
336,101,,Price,North Carolina,Co,288,INTRODUCED,Representative,A BILL
337,101,,Rice,New York,Co,335,INTRODUCED,Representative,A BILL
